country.value,latitude,longitude
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Algeria,28.0000272,2.9999825
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Angola,-11.8775768,17.5691241
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Benin,9.5293472,2.2584408
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Botswana,-23.1681782,24.5928742
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burkina Faso,12.0753083,-1.6880314
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Burundi,-3.426449,29.9324519
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cabo Verde,16.0000552,-24.0083947
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Cameroon,4.6125522,13.1535811
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
Central African Republic,7.0323598,19.9981227
